Candidate,Population Size,Crossover Probability,Mutation Probability,Max Generations,Mean Makespan,Best Makespan,Worst Makespan,Std Makespan,Optimum Hit Rate Percent,Mean Runtime Seconds,Mean Generations Completed,Selected
1,150,0.9,0.3,500,55.666666666666664,55.0,57.0,0.9428090415820634,66.66666666666667,3.830510320335937,500.0,No
2,50,0.9,0.1,300,57.333333333333336,55.0,59.0,1.699673171197595,33.333333333333336,0.5027228923475681,300.0,No
3,150,0.8,0.3,300,57.666666666666664,55.0,59.0,1.8856180831641267,33.333333333333336,2.240001203666907,300.0,No
4,50,0.95,0.2,300,57.666666666666664,57.0,58.0,0.4714045207910317,0.0,0.6180270780071927,300.0,No
5,150,0.9,0.2,300,55.0,55.0,55.0,0.0,100.0,2.1317103689846895,300.0,No
6,50,0.8,0.1,100,58.333333333333336,58.0,59.0,0.4714045207910317,0.0,0.16794638302720463,100.0,No
7,100,0.95,0.1,500,57.0,55.0,59.0,1.632993161855452,33.333333333333336,2.4398543426650576,500.0,No
8,100,0.95,0.2,100,55.0,55.0,55.0,0.0,100.0,0.49431711666208383,100.0,Yes
9,150,0.95,0.1,100,57.333333333333336,55.0,59.0,1.699673171197595,33.333333333333336,0.7155457683256827,100.0,No
10,100,0.8,0.1,500,56.0,55.0,58.0,1.4142135623730951,66.66666666666667,1.922824417008087,500.0,No
11,50,0.8,0.3,500,58.666666666666664,58.0,59.0,0.4714045207910317,0.0,0.9953146253246814,500.0,No
12,150,0.95,0.1,300,57.333333333333336,55.0,59.0,1.699673171197595,33.333333333333336,2.0786759116648077,300.0,No
